Waypoint Number,X [m] ,Y [m] ,Alt. ASL [m] ,Alt. AGL [m] ,xcoord ,ycoord 
103,"-514756.215776","-7535479.035762","120.000000",nan,"-44.856753","-22.286273"
104,"-514724.006936","-7535477.149844","120.000000",nan,"-44.857066","-22.286291"
105,"-514685.392184","-7535484.872795","120.000000",nan,"-44.857441","-22.286221"
106,"-514646.777432","-7535492.595745","120.000000",nan,"-44.857816","-22.286152"
107,"-514608.162679","-7535500.318695","120.000000",nan,"-44.858191","-22.286082"
108,"-514569.547927","-7535508.041646","120.000000",nan,"-44.858565","-22.286013"
109,"-514530.933175","-7535515.764596","120.000000",nan,"-44.858940","-22.285944"
110,"-514492.318423","-7535523.487547","120.000000",nan,"-44.859315","-22.285874"
111,"-514453.703671","-7535531.210497","120.000000",nan,"-44.859690","-22.285805"
112,"-514415.088919","-7535538.933448","120.000000",nan,"-44.860065","-22.285735"
113,"-514376.474167","-7535546.656398","120.000000",nan,"-44.860440","-22.285666"
114,"-514337.859414","-7535554.379348","120.000000",nan,"-44.860815","-22.285596"
115,"-514299.244662","-7535562.102299","120.000000",nan,"-44.861190","-22.285527"
116,"-514260.629910","-7535569.825249","120.000000",nan,"-44.861565","-22.285457"
117,"-514222.015158","-7535577.548200","120.000000",nan,"-44.861940","-22.285388"
118,"-514183.400406","-7535585.271150","120.000000",nan,"-44.862315","-22.285318"
119,"-514144.785654","-7535592.994101","120.000000",nan,"-44.862690","-22.285249"
120,"-514106.170901","-7535600.717051","120.000000",nan,"-44.863065","-22.285180"
121,"-514067.556149","-7535608.440001","120.000000",nan,"-44.863439","-22.285110"
122,"-514028.941397","-7535616.162952","120.000000",nan,"-44.863814","-22.285041"
123,"-514016.620532","-7535584.445072","120.000000",nan,"-44.863934","-22.285327"
124,"-514025.169561","-7535556.678306","120.000000",nan,"-44.863850","-22.285578"
125,"-514063.784313","-7535548.955355","120.000000",nan,"-44.863476","-22.285648"
126,"-514102.399065","-7535541.232405","120.000000",nan,"-44.863101","-22.285717"
127,"-514141.013818","-7535533.509454","120.000000",nan,"-44.862726","-22.285786"
128,"-514179.628570","-7535525.786504","120.000000",nan,"-44.862351","-22.285856"
129,"-514218.243322","-7535518.063554","120.000000",nan,"-44.861976","-22.285925"
130,"-514256.858074","-7535510.340603","120.000000",nan,"-44.861601","-22.285995"
131,"-514295.472826","-7535502.617653","120.000000",nan,"-44.861226","-22.286064"
132,"-514334.087578","-7535494.894702","120.000000",nan,"-44.860851","-22.286134"
133,"-514372.702330","-7535487.171752","120.000000",nan,"-44.860476","-22.286203"
134,"-514411.317083","-7535479.448801","120.000000",nan,"-44.860101","-22.286273"
135,"-514449.931835","-7535471.725851","120.000000",nan,"-44.859726","-22.286342"
136,"-514488.546587","-7535464.002901","120.000000",nan,"-44.859351","-22.286412"
137,"-514527.161339","-7535456.279950","120.000000",nan,"-44.858976","-22.286481"
138,"-514565.776091","-7535448.557000","120.000000",nan,"-44.858602","-22.286550"
139,"-514604.390843","-7535440.834049","120.000000",nan,"-44.858227","-22.286620"
140,"-514643.005595","-7535433.111099","120.000000",nan,"-44.857852","-22.286689"
141,"-514681.620348","-7535425.388148","120.000000",nan,"-44.857477","-22.286759"
142,"-514720.235100","-7535417.665198","120.000000",nan,"-44.857102","-22.286828"
